ColorName;NumOfColor;Type;ColorNum;ColorLetter;RGB_HTML
Zissou;5;qual;1;A;#0099E6
;;;2;B;#12255A
;;;3;C;#F23814
;;;4;D;#DFB78B
;;;5;E;#B6C3C5
Zissou;5;div;1;A;#548EA9
;;;2;B;#80AEBE
;;;3;C;#E0C636
;;;4;D;#D2A821
;;;5;E;#D43A0F
WesMix;12;qual;1;A;#527782
;;;2;B;#C17537
;;;3;C;#DAAA2C
;;;4;D;#423B64
;;;5;E;#2B5D47
;;;6;F;#5093B1
;;;7;G;#931F28
;;;8;H;#747B74
Custom;8;qual;1;A;#E41A1C
;;;2;B;#377EB8
;;;3;C;#4DAF4A
;;;4;D;#984EA3
;;;5;E;#FF7F00
;;;6;F;#FFFF33
;;;7;G;#A65628
;;;8;H;#F781BF
ETHppt;12;qual;1;A;#000000
;;;2;B;#FFFFFF
;;;3;C;#72791C
;;;4;D;#1269B0
;;;5;E;#91056A
;;;6;F;#6F6F64
;;;7;G;#A8322D
;;;8;H;#007A96
;;;9;A;#956013
;;;10;B;#FFFFFF
;;;11;C;#1269B0
;;;12;D;#8CB63C
